nom,iata,icao
Mayes Airport,,
Maylands Airport,,
Mbeya Airport,MBI
McCook Ben Nelson Regional Airport,MCK,KMCK
McVille Airport,,
McVille Municipal Airport,,
Sormovo,,XUDS
Soroti Airport,SRT
Souanké Airport,SOE,FCOS
South Alabama Regional Airport,,K79J
South Arkansas Regional Airport at Goodwin Field,ELD,KELD
South Bend Regional Airport,SBN,KSBN
South Caicos Airport,XSC,MBSC
San Martin Airport,,
South Goulburn Island Airport,GBL,YGBI
South Grand Lake Regional Airport,,
South Jersey Regional Airport,LLY,KVAY
South Lakeland Airport,,
South Lewis County Airport,TDO,KTDO
South St. Paul Municipal Airport,,KSGS
South Valley Regional Airport,,
South West Bay Airport,SWJ,NVSX
South Wood County Airport,ISW,KISW
Southard Field,,
Southbridge Municipal Airport,,
Zaria Airport,ZAR,DNZA
Zavitinsk,,
Zelienople Municipal Airport,,KPJC
Zemun Polje Airport,,LYZP
Zephyrhills Municipal Airport,ZPH,KZPH
Zero Airport,ZER,VEZO
Zhangjiakou Ningyuan Airport,ZQZ,ZBZJ
Zhytomyr Airport,ZTR,UKKV
Zomba Airport,,FWZA
Zona da Mata Regional Airport,IZA,SBZM
Zonalnoye Airport,ZZO,UHSO
Zouar Airport,,FTTR
Zunyi Xinzhou Airport,ZYI,ZUZY
Zvishavane Airport,,FVSH
Éléonore Aerodrome,,
Casimiro Szlapelis Airport,ARR,SAVR
Colonia Catriel Airport,CCT,
Ceres Airport,CRR,SANW
Chilecito Airport,,SANO
San Fernando Airport,FDO,SADF
Pocatello Regional Airport,PIH,KPIH
Guasopa Airport,GAZ,AYGJ
Junín Airport,JNI,SAAJ
Rozas Airport,,LERO
Florence Regional Airport,FLO,KFLO
Florida Airport,,MUFL
Florida Keys Marathon Airport,MTH,KMTH
Flournoy Valley Airport,,
Floyd Bennett Memorial Airport,GFL,KGFL
Flushing Airport,FLU,KFLU
Fly 'N' W Airport,,
Fly For Fun Airport,,
Fly by Night Airport,,
Flyin' B Airport,,
Flying C Airport,,
Flying Cloud Airport,FCM,KFCM
Flying D Ranch Airport,,
Flying E Airport,,
Flying K Bar J Ranch Airport,,
Flying K Ranch Airport,,
Flying M Airport,,
Flying S Ranch Airport,,
Flying T Ranch Airport,,
Flying Tom Airport,,
Magway Airport,MWQ,VYMW
Mahana Airport,TOZ,DITM
Mahendranagar Airport,XMG,VNMN
Maitland Airport,MTL,YMND
Maize Airport,,
Makabana Airport,KMK,FCPA
Makurdi Airport,MDI,DNMK
Malanje Airport,MEG,FNMA
Malda Airport,LDA,VEMH
Malden Regional Airport,MAW,KMAW
Skydive Oregon Airport,,
Skydive Houston Airport,,
Skyhaven Airport,,KRCM
Skyharbor Airport,,KS63
Skyhaven Airport,,KDAW
Skyhaven Airport,,
Skyhill Airport,,
Skylark Airpark,,
Skylark Field,ILE,KILE
Skypark Airport,BTF,KBTF
Skyport Airport,,
Skyway Estates Airport,,K60G
Skyway Manor Airport,,
Slidell Airport,,KASD
Smederevo Airport,SDO,LYSD
Smith Field,SLG,KSLG
Smith Field,SMD,KSMD
Smith Reynolds Airport,INT,KINT
Yagoua Airport,GXX,FKKJ
Yakubu Gowon Airport,JOS,DNJO
Yale Airport,,
Yalinga Airport,AIG,FEFY
Yam Island Airport,XMY,YYMI
Yampa Valley Airport
Yankee Creek Airport,,
Yarram Airport,,YYRM
Yarrawonga Airport,,YYWG
Yazoo County Airport,,
Yelabuga North,,
Yelahanka Air Force Station,,VOYK
Yellowstone Airport,WYS,KWYS
Yellowstone Regional Airport,COD,KCOD
Yengema Airport,WYE,GFYE
Yeouido Airport,,
Senica Airport,,LZSE
Malacky Air Base,,LZMC
Zheleznogorsk Airport,,UIBV
Zhigansk Airport,ZIX,UEVV
Zavodske Airfield,,UKFW
Zaysan Airport,ZSI,UASZ
Zachar Bay Seaplane Base,KZB,
Tanga Airport,TGT
Edgeley Municipal Airport,,
Izhma Airport,,UUYV
Ekwok Airport,KEK,
Tasikmalaya Airport,TSY,WICM
Alor Island Airport,ARD,WATM
Bali Airport,BLC,FKKG
Sanfebagar Airport,FEB,VNSR
Andulo Airport,ANL,
Ambriz Airport,AZZ,FNAM
Qazvin Airport,GZW,OIIK
Skive Airport,SQW,EKSV
Stauning Vestjylland Airport,STA,EKVJ
Vojens Airport,SKS,EKSP
Porto Amboim Airport,PBN,FNPA
Zabré Airport,XZA,DFEZ
Genting Airport,,
Tenkodogo Airport,TEG,DFET
Farm Yard Field,,
Farr Airport,,
Farrukhabad Airport,,
San Luis Río Colorado Airport,UAC,MM76
Fayette County Airport,,KFYE
Fayette County Airport,,
Fayette Regional Air Center,,
Feilding Aerodrome,,NZFI
Felts Field,SFF,KSFF
Fenelon Falls/Sturgeon Lake Water Aerodrome,,
Fergus (Holyoake Airfield) Aerodrome,,
Fergus Falls Municipal Airport,FFM,KFFM
Ferkessédougou Airport,FEK,DIFK
Fernandina Beach Municipal Airport,,KFHB
Fernando Luis Ribas Dominicci Airport,SIG,TJIG
Lowell Airport,,
Lowell City Airport,,
Lower Chattahoochee Regional Airport,,
Lt. Warren Eaton Airport,OIC,KOIC
Lubang Airport,LBX,RPLU
Lucapa Airport,LBZ,FNLK
Luce County Airport,,KERY
Lucknow Air Force Station,,VIBL
Lufker Airport,,
Lupin Airport,YWO,CYWO
Luray Caverns Airport,,KLUA
Lusaka City Airport,,FLLC
Lusambo Airport,LBO,FZVI
Lusardi Field,,
Luscombe Airfield,,
Luskintyre Airfield,
Lutong Airport,,WMLU
Luverne Municipal Airport,,KLYV
Lykes Palmdale Airport,,
Lynchburg Regional Airport,LYH,KLYH
Lüliang Airport,LLV,ZBLL
"M. Graham Clark Field, Taney County Airport",PLK,KPLK
MKT Airfield,,YMKT
Maamigili Airport,VAM,VRMV
Winchester Municipal Airport,,KBGF
Windham Airport,,KIJD
Windorah Airport,WNR,YWDH
Wings Field,BBX,KLOM
Wings for Christ Airport,,
Winkle Bar Airport,,
Winkler County Airport,INK,KINK
Winn Airport,,
Winnemucca Municipal Airport,WMC,KWMC
Winner Regional Airport,,KICR
Winona Municipal Airport,ONA,KONA
Winter Haven's Gilbert Airport,GIF,KGIF
Winton Airport,WIN,YWTN
Wipim Airport,WPM,AYXP
Wiscasset Airport,ISS,KIWI
Wisley Airfield,,
Withrotor Airport,,
Wittman Regional Airport,OSH,KOSH
Woitape Airport,WTP,AYWT
Eastern Sierra Regional Airport,BIH,KBIH
Borisoglebskoye airfield,,UWKG
Valek Airport,,UOOW
Varandey Airport,VRI,ULDW
Velikiye Luki Airport,VLU,ULOL
Venetie Airport,VEE,PAVE
Verkhnevilyuysk Airport,VHV,UENI
Vitim Airport,,UERT
Sohag International Airport
Kolpashevo Airport,,UNLL
Prince Abdul Majeed bin Abdul Aziz Domestic Airport,ULH,OEAO
Fairmont Municipal Airport,,
Eugenio María de Hostos Airport,MAZ,TJMZ
Eulogio Sánchez Airport,,SCTB
Eureka Airport,EUE,
Eureka Municipal Airport,,
Eutaw Municipal Airport,,K3A7
Evans Head Memorial Aerodrome,EVH,YEVD
Evart Municipal Airport,,K9C8
Evelio Javier Airport,EUQ,RPVS
Haren Airport,,
Everett-Stewart Regional Airport,UCY,KUCY
Everglades Airpark,,
Evergreen Field,,
Ewo Airport,EWO,FCOE
Exeter Airport,,
Fabio Alberto León Bentley Airport,MVP,SKMU
Fada N'gourma Airport,FNG,DFEF
Fagali'i Airport,FGI,NSFI
Lodwick Field,,
Logan County Airport,,
Loitokitok Airport,
Loiyangalani Airport,LOY
Loliondo Airstrip,
Lompoc Airport,LPC,KLPC
Khark Airport,KHK,OIBQ
Lone Oaks Ranch Airport,,
Lone Star Executive Airport,CXO,KCXO
Lonesome Pine Airport,LNP,KLNP
Long Pasia Airport,GSA,WBKN
Shepparton Airport,SHT,YSHT
Sher-Wood Airport,PWD,KPWD
Sheridan County Airport,SHR,KSHR
Sherman Army Airfield,FLV,KFLV
Sherman Municipal Airport,SWI,KSWI
Shihezi Huayuan Airport,SHF,ZWHZ
Shilavo Airport
Lørenskog Heliport,,ENLX
Shimanovsk Airport,,
Shimla Airport,SLV,VISM
Shimoga Airport,,
Shingletown Airport,,
Shirdi Airport,SAG,VASD
Shiroro Airstrip,,
Shively Field,SAA,KSAA
Shotgun Ranch Airstrip,,
Show Low Regional Airport,SOW,KSOW
Whitaker Airport,,
White Cloud Airport,,
White Mountain Airport,,
Whitegrass Airport,TAH,NVVW
Whitehorse Ranch Airport,,
Whitehorse Water Aerodrome,,
Whiteman Airport,WHP,KWHP
Whitford's Airport,,
Whitianga Aerodrome,WTZ,NZWT
Whitsunday Airport,JHQ,YSHR
Wichita Falls Municipal Airport,SPS,KSPS
Wickenburg Municipal Airport,,
Wigrich Airport,,
Wilbarger County Airport,WIB,
Wilderness Airport,,
Wildhorse Valley Airport,,
Wildwood/Loche Mist Farms Aerodrome,,
Wiley Post Airport,PWA,KPWA
Wilgrove Air Park,QWG,
Wilkes-Barre Wyoming Valley Airport,WBW,KWBW
El Fuerte Airport,,MM79
Kualanamu International Airport,KNO,WIMM
Ruby Airport,RBY,PARY
McArthur River Mine Airport,MCV,YMHU
Mackinac Island Airport,MCD,KMCD
Ufa Maximovka Airport,,UWUM
Malino Airfield,,
Manokotak Airport,KMO,PAMB
Marinovka Air Base,,
Markovo Airport,KVM,UHMO
Yuzhno-Kurilsk Mendeleyevo Airport,DEE,UHSM
Menzelinsk Airport,,UWKP
Sarovo Airport,,XUDM
French Valley Airport,RBK,
Myachkovo Airport,,UUBM
Nikolski Air Station,IKO,PAKO
Nightmute Airport,NME,PAGT
Neftekamsk Airport,NEF,UWUF
Nizhneangarsk Airport,,UIUN
Nizhneudinsk Airport,,UINN
Nikolayevsk-on-Amur Airport,NLI,UHNN
Noatak Airport,WTK,PAWN
Northway Airport,ORT,PAOR
Foshan Shadi Airport,FUO,ZGFS
Reyes Murillo Airport,NQU,SKNQ
Fostoria Metropolitan Airport,,KFZI
Robinson Crusoe Airport,,SCIR
Mocopulli Airport,MHC,SCPQ
Santa Rosa Airport,ETR,SERO
Francis S. Gabreski Airport,FOK,KFOK
Frank Sikes Airport,,K04A
Frankfort-Highland Airport,,
Frankfort Dow Memorial Field,,KFKS
Franklin County Airport,,
Franklin County Airport,UOS,KUOS
Franklin County Airport,,
Franklin County State Airport,,KFSO
Franklin Municipal-John Beverly Rose Airport,FKN,KFKN
Frasca Field,,
Frazier Lake Airpark,,
Île Art – Waala Airport,BMY,NWWC
Clorinda Airport,CLX,SATC
Mariano Moreno Airport,,SADJ
Yola Airport,YOL,DNYO
Žabljak Airport,ZBK,
New Bight Airport,TBI,MYCB
Selebi-Phikwe Airport,PKW,FBSP
Ouanda Djallé Airport,ODJ,FEGO
Kapino Polje Airport,,LYNK
Francisco Beltrão Airport,FBE,SSFB
Luau Villa Teixeira de Sousa  Airport,UAL,FNUA
Porto Urucu Airport,,SBUY
Santana do Araguaia Airport,CMP,SNKE
Videira Airport,VIA,SSVI
Sokodé Airport,,DXSK
Wuzhou Changzhoudao Airport,,
Katiola Airport,KTC,
Nioro Airport,NIX,GANR
Kalokol Airport,KLK
Laï Airport,LTC,FTTH
Freddie Jones Field,,
Frederick Municipal Airport,FDK,KFDK
Frederick Regional Airport,FDR,KFDR
Freehold Airport,,
Freeman Municipal Airport,SER,KSER
Freeway Airport,,
Frejus Airport,FRJ,LFTU
Fremont Airport,,
Fremont Municipal Airport,,KFFX
Fremont Municipal Airport,FET,KFET
French Lick Municipal Airport,FRH,KFRH
Fria Airport,FIG,GUFA
Fuerte Militar Larandia,,SKLR
Fulton County Airport,,KUSE
Fuvahmulah Airport,FVM,VRMR
"Førde Airport, Øyrane",,
Gage Airport,GAG,KGAG
Gamboma Airport,GMM,FCOG
Old Ganzhou Huangjin Airport,KOW,ZSGZ
Gates Airport,,
Gayndah Airport,GAH,YGAY
Gbadolite Airport,BDT,FZFD
Meadow Lake Airport,YLJ,CYLJ
Meadowlark Airport,,
Medford Municipal Airport,,
Melton Airfield,,YMEL
Mercer County Airport,,
Mettel Field,CEV,KCEV
Mid Valley Airport,,KTXW
Middlemount Airport,MMM,YMMU
Milkovo Airport,,UHPM
Millet/Creekview Aerodrome,,
Mississippi County Airport,,KCHQ
Mitiaro Airport,MOI,NCMR
Mombo Airstrip,
Mongu Airport,MNR,FLMG
Monroe-Walton County Airport,,
Monroe Municipal Airport,,KEFT
Monte Caseros Airport,MCS,SARM
Moomba Airport,MOO,YOOM
Mooreland Municipal Airport,,KMDF
Morawa Airport,MWB,YMRW
Mornington Island Airport,ONG,YMTI
Morogoro Airstrip,
Morombe Airport,MXM,FMSR
Moshi Airport,QSI
Mossendjo Airport,MSX,FCMM
Mount Gordon Airport,GPD,YGON
Mount Keith Airport,WME,YMNE
Southdowns Airport,KIW,FLSO
Southeast Iowa Regional Airport,BRL,KBRL
Southern Cross Airport,,
Southern Seaplane Airport,BCS,
Southern Wisconsin Regional Airport,JVL,KJVL
Southland Field,UXL,KUXL
Southport Airport,SHQ,YSPT
Southwest Minnesota Regional Airport,MML,KMML
Southwest Oregon Regional Airport,OTH,KOTH
Southwest Washington Regional Airport,KLS,KKLS
Space Coast Regional Airport,TIX,KTIX
Spadaro Airport,,
Spanish Cay Airport,,MYAX
Spanish Peaks Airfield,,
Sparta/Fort McCoy Airport,CMY,KCMY
Spartanburg Downtown Memorial Airport,SPA,KSPA
Spence Airport,MUL,KMUL
Spencer Airport,,K60M
Spirit of St. Louis Airport,SUS,KSUS
Spitfire Aerodrome,,
Spring Point Airport,AXP,MYAP
Springdale Municipal Airport,SPZ,KASG
Springfield-Beckley Municipal Airport,SGH,KSGH
Springfield-Branson National Airport,SGF,KSGF
Springsure Airport,,YSPI
Spruce Creek Airport,,
Cerklje ob Krki Airport,,LJCE
Kantchari Airport,XKA,DFEL
Kédougou Airport,KGG,GOTK
Ramechhap Airport,RHP,VNRC
Mthatha Airport,UTT,FAUT
Ladysmith Airport,LAY,FALY
Kerema Airport,KMA,AYKM
Nefteyugansk Airport,NFG,USRN
K50 Airport,,
Simikot Airport,IMK,VNST
Ouadda Airport,ODA,FEFW
Sanming Shaxian Airport,SQJ,ZSSM
Magdagachi Airport,GDG,UHBI
Stung Treng Airport,TNX,VDST
Arzanah Airport,,OMAR
Azadi Airport,,OIIA
Baidoa Airport,BIB
Parismina Airport,,MRBP
Belet Uen Airport,
Beni Mellal Airport,BEM,GMMD
Bharkot Airport,,VI82
Bhiwani Airport,,VIBW
Kavanayén Airport,KAV,SVKA
Bokaro Airport,,VEBK
Bonkita Airport,,FZBF
Guymon Municipal Airport,GUY,KGUY
Guápiles Airport,GPL,MRGP
Guéréda Airport,,
Gwinnett County Airport,LZU,KLZU
Gympie Airport,GYP,YGYM
Gävle-Sandviken Airport,GVX,ESSK
Güiria Airport,GUI,SVGI
Hadley Field,,
Halifax-Northampton Regional Airport,,KIXA
Halifax County Airport,RZZ,KRZZ
Hall Caine Airport,,
Hamedan Airbase,NUJ,OIHS
Laboulaye Airport,,SAOL
Vallenar Airport,VLR,SCLL
Empuriabrava Aerodrome,,LEAP
Harford Field,,KHAD
Alberto Lleras Camargo Airport,SOX,SKSO
Bananera Airport,,MGBN
Chaitén Airport,WCH,SCTN
Contador Airport,PTX,SKPI
North Palm Beach County General Aviation Airport,,
North Perry Airport
North Pickens Airport,,K3M8
North Plains Gliderport,,
North Platte Regional Airport,LBF,KLBF
North Texas Regional Airport,PNX,KGYI
Northampton Airport,,
Northeast Alabama Regional Airport,GAD,KGAD
Northeast Florida Regional Airport,UST,KSGJ
Northeastern Regional Airport,EDE,KEDE
Northern Aroostook Regional Airport,WFK,KFVE
Presque Isle International Airport,PQI,KPQI
Northern Peninsula Airport,ABM,YNPE
Northwest Alabama Regional Airport,MSL,KMSL
Northwest Angle Airport,,
Northwest Missouri Regional Airport,,KEVU
Northwest Regional Airport,,
Norway Airport,,
Norwood Memorial Airport,OWD,KOWD
Novo Progresso Airport,NPR,SJNP
Nowata Municipal Airport,,
Numbulwar Airport,NUB,YNUM
Stevens Point Municipal Airport,STE,KSTE
Stevenson Airport,,K7A6
Stevensville Airport,,
Stigler Regional Airport,,KGZL
Stillwater Regional Airport,SWO,KSWO
Stilwell/Cherokee Nation Airport,,
Stinson Field Municipal Airport,,
Stinson Municipal Airport,SSF,KSSF
Stockholm Airport,SMP,
Stockton Metropolitan Airport,SCK,KSCK
Stockton Municipal Airport,,
Stone Mountain Airport,,
Stoney Point (Trepanier) Aerodrome,,
Stonington Municipal Airport,,
Stony River Airport,SRV,
Storm Lake Municipal Airport,SLB,KSLB
Stormville Airport,,
Stovepipe Wells Airport,,
Strathmore (Appleton Field) Aerodrome,,
Strauch Field,,
Strother Field,WLD,KWLD
Pampa Alegre Airport,,SCOS
Porto Nacional Airport,PNB,SBPN
Primavera do Leste Airport,,SWPY
Quintero Airport,QTR,SCER
San Rafael Airport (Chile),LOB,SCAN
Santa Cruz do Sul Airport,CSU,SSSC
Serra Talhada Airport,,SNHS
São Borja Airport,JBS,SSSB
Ubatuba Airport,UBT,SDUB
Futaleufu Airport,FFU,SCFT
Futaysi Airport,,OMAF
Gardo Airport,GSR
Grand Bahama Airport,,MYGM
Guanare Airport,GUQ,SVGU
Guardalavaca Airport,,MUGV
Heidelberg Airport,,FAHG
Higuerote Airport
Hirakud Airport,,VEHK
Huancara Airport,,SCVN
Huallaga Airport,,SPBL
Hólmavík Airport
Icabaru Airport,ICA,SVIC
Ikela Airport,IKL,FZGV
Greene County Airport,WAY,KWAY
Greensboro North Airport,XLL,
Greensburg Municipal Airport,,
Greensburg Jeannette Regional Airport,,
Greenville Municipal Airport,,
Greenville Municipal Airport,,
Greenville Municipal Airport,,
Greenwood Municipal Airport,,
Grenada Municipal Airport,,KGNF
Jumbolair Airport,,
Greytown Airport,,FAGY
Grider Field,PBF,KPBF
Griffing Sandusky Airport,SKY,KSKY
Grimes Airport,,
Grissom Aeroplex,GUS,KGUS
Griswold Airport,MPE,
Grosse Ile Municipal Airport,ONZ,KONZ
Groton-New London Airport,GON,KGON
Grove Hill Municipal Airport,,K3A0
Grove Municipal Airport,,KGMJ
Grundy Municipal Airport,,KGDY
Gualaco Airport
Guanambi Airport,GNM,SNGI
New Braunfels Municipal Airport,,KBAZ
New Castle Municipal Airport,UCP,KUCP
New Garden Airport,,
New Halfa Airport,NHF
New Market Airport,,
New Plymouth Airport,NPL,NZNP
New River Valley Airport,PSK,KPSK
New Smyrna Beach Municipal Airport,,KEVB
New Ulm Municipal Airport,ULM,KULM
New York Mills Municipal Airport,,
Newark-Heath Airport,,KVTA
Newcastle Aerodrome,,EINC
Newman's Airport,,
Newport Municipal Airport,,
Newport Municipal Airport,ONP,KONP
Ngara Airport,
Ngau Airport,NGI,NFNG
Ngloram Airport,CPF,WRSC
Ngoma Airport,ZGM,FLNA
Nicaro Airport,ICR,MUNC
Nielsen Airport,,
St-Pierre-Jolys (Carl's Field) Aerodrome,,
St. Charles Airport,,
St. Charles County Smartt Airport,,KSET
St. Clair County Airport,PLR,KPLR
St. Cloud Regional Airport,STC,KSTC
St. Elmo Airport,,K2R5
St. Landry Parish Airport,OPL,KOPL
St. Lina Aerodrome,,
St. Louis Downtown Airport,CPS,KCPS
St. Louis Metro-East Airport,,
St. Louis Regional Airport,ALN,KALN
St. Mary's Airpark,,
St. Mary's County Regional Airport,LTW,
St. Marys Airport,,
St. Marys Municipal Airport,STQ,KOYM
St. Paul Downtown Airport,STP,KSTP
St. Tammany Regional Airport,,
St George Airport,SGO,YSGE
Stafford Regional Airport,,KRMN
Stag Lane Aerodrome,,
Stampede Airport,,
Stan Jost Airport,,
Stan Stamper Municipal Airport
Stanly County Airport,VUJ,KVUJ
Stanton Airfield,SYN,KSYN
Stanton Airport,,
Starokostiantyniv,,UKLS
Statesboro-Bulloch County Airport,TBR,KTBR
Stella Maris Airport,SML,MYLS
Stellar Airpark,,
Stevens Field,PGO,KPSO
Stevens Mountain Airport,,
Fort Dodge Regional Airport,FOD,KFOD
Fox Glacier Heliport,FGL,NZFH
Taupo Airport,TUO,NZAP
Muara Bungo Airport,BUU,WIPI
Rokot Airport,RKI,WIBR
Três Lagoas Airport,TJL,SBTG
Belo Jardim Airport,,SNBJ
Franca Airport,FRC,SIMK
Guarapari Airport,GUZ,SNGA
Ijuí Airport,IJU,SSIJ
Manicoré Airport,MNX,SBMY
Chinandega Airport,,MNCH
Chimore Airport,CCA,SLCH
Chitipa Airport,,FWCT
Cicuco Airport,,SKIO
Cianorte Airport,GGH,SSCT
"Cochrane, Chile Airport",LGR,SCHR
Coco Island Airport,,VYCI
Comilla Airport,CLA,VGCM
Concepcion Airport,CEP,SLCP
Coronel Olmedo Airport,,SACD
Coveñas Airport,CVE,SKCV
Dalby Airport,DBY,YDAY
Darbhanga Airport,DBR,VE89
Cumaribo Airport,PCE,SKUM
El Pindo Airport,MTB,SKML
Annobón Airport,NBN,FGAB
La Cumbre Airport,LCM,SACC
Los Pozos Airport,,SKSG
Carora Airport,VCR,SVCO
Mandinga Airport,COG,SKCD
Mariscal Sucre Airport,MYC,SVBS
María Dolores Airport,LSQ,SCGE
Cupul aerodrome,TZM,MM72
Ezequiel Zamora Airport,,SVCJ
Ingeniero Juan Guillermo Villasana National Airport
Perito Moreno Airport,PMQ,SAWP
Presidente Néstor Kirchner Airport,VMR,SAOV
Teniente Amin Ayub Gonzalez Airport,ENO,SGEN
Caracas-Óscar Machado Zuloaga airport,,SVCS
Capurganá Airport,CPB,SKCA
Huehuetenango Airport
José de San Martín Airport,JSM,SAWS
O'Neal Airport,OEA,KOEA
O'Neill Municipal Airport,ONL,KONL
Obo Airport,OBX,AYOB
Ocean Beach,,
Ocracoke Island Airport,,
Oenpelli Airport,OPI,YOEN
Okanogan Legion Airport,,
Okoyo Airport,OKG,
Old Bridge Airport,,
Old Forge Airport,,
Old Kaduna Airport,,
Old Town Municipal Airport and Seaplane Base,OLD,KOLD
Olds/North 40 Ranch Aerodrome,,
Olive Branch Airport,OLV,KOLV
Olive Hill Airport,,
Olpoi Airport,OLJ,NVSZ
Olympia Regional Airport,OLM,KOLM
Olympic Dam Airport,OLP,YOLD
Ondjiva Pereira Airport,VPE,FNGI
Oneida County Airport,UCA,KUCA
Oneonta Municipal Airport,ONH,
Ongjin Airport,,
Onslow Airport,ONS,YOLW
Stroud Municipal Airport,SUD,KSUD
Stroudsburg-Pocono Airport,ESP,
Stuart Powell Field,,KDVK
Sturgate Airfield,,EGCS
Sturgis Municipal Airport,,KTWT
Sua Pan Airport,SXN,FBSN
Sublette Municipal Airport,,
Suburban Airport,,
Suffolk Executive Airport,,KSFQ
Sugarloaf Regional Airport,,
Suki Airport,SKC,AYSU
Sullivan County Airport,SIV,KSIV
Sulphur Springs Municipal Airport,SLR,KSLR
Sultanpur Airport,,VESL
Summit Airport,UMM,PAST
Sumter Airport,SUM,KSMS
Sun Valley Airport,,
Sunchon Airport,,ZKSC
Sundance Airpark,,KHSD
Sunflower Aerodrome Gliderport,,
Sunrise Dam Airport,,YSRD
Sunriver Airport,SUO,
Suntar Airport,SUY,UENS
Surigao Airport,SUG,RPMS
Susanville Municipal Airport,SVE,KSVE
Sussex Airport,,KFWN
Susuman Airport,,UHMH
Sutton On Rogue Airport,,
Suwannee County Airport,,
Svetlogorsk Airport,,UOIG
Sycamore Strip Airport,,
Syracuse Suburban Airport,,
Vila Rica Airport,VLP,SWVC
Sintra Air Base,,LPST
Silampari Airport,LLJ,WIPB
Mapel Airstrip,,
Manihiki Island Airport,MHX,NCMH
Skövde Airport,KVB,ESGR
Scandinavian Mountains Airport,SCR,ESKS
Söderhamn Airport,SOO,ESNY
Ingende Airport,,FZEI
Isla Mujeres Airport,ISJ,MMIM
Ixtepec Airport,IZT,MMIT
Januaria Airport,JNA,SNJN
Jeypore Airport,PYB,VEJP
Jomalig Airport,,RPLJ
Kabombo Airport,,FZRD
Kajiji Airport,,FZCK
Kalaleh Airport,KLM,OINE
Kalima Airport,KLY,FZOD
Kamaran Airport,KAM,OYKM
Kansimba Airport,,FZRK
Kapfenberg Airport,,LOGK
Karamea Airport,,NZKM
Kashan Airport,KKS,OIFK
Katako'kombe Airport,,FZVG
Katumbi Airport,,FWKB
Katse Airport,,FXKA
Guapi Airport,GPI,SKGP
Guarapuava Airport,GPB,SBGU
Guasdualito Airport,GDO,SVGD
Guaymaral Airport
Guiglo Airport,GGO,DIGL
Gulbarga Airport,GBI,VOGB
Gulu Airport,ULU
Gumare Airport,,FBGM
Gunnison–Crested Butte Regional Airport,GUC,KGUC
Guntersville Municipal Airport,,K8A1
Gusap Airport,GAP,AYGP
Gustine Airport,,
Guthrie–Edmond Regional Airport,GOK,KGOK
Nifty Airport,NIF,YCNF
Nikolai Airport,NIB,PAFS
Nikolsk Airport,,
Nioki Airport,NIO,FZBI
Shreveport Regional Airport,SHV,KSHV
Nissan Island Airport,IIS,AYIA
Njoeng Jacob Kondre Airstrip,,SMJK
Nome City Field,,
Nondalton Airport,NNL,PANO
Norfolk Regional Airport,OFK,KOFK
Norman's Cay Airport,NMC,MYEN
Normanton Airport,NTN,YNTN
Norseman Airport,NSM,YNSM
North American Farms Airport,,
North Auxiliary Airfield,XNO,KXNO
North Buffalo Suburban Airport,,
North Caicos Airport,NCA,MBNC
North Central State Airport,SFZ,KSFZ
North Central West Virginia Airport,CKB,KCKB
North Little Rock Municipal Airport,,KORK
North Omaha Airport,,
Staniel Cay Airport,TYM,MYES
Stanthorpe Airport,SNH,YSPE
Stanton County Municipal Airport,,KJHN
Staraya Russa Airport,,ULNR
Stark's Twin Oaks Airpark,,
Stawell Airport,SWC,YSWL
Steamboat Springs Airport,SBS,KSBS
Sterling Airport,,
Steven A. Bean Municipal Airport,,
Dekese Airport,,FZVT
Diboko Airport,,FZUP
Doruma Airport,,FZJD
El Banco Apt. Airport,ELB,SKBC
El Cardal Airport,,SCKD
"El Carmen, Costa Rica Airport",,MREC
El Jadida Airport,,
El Mirador Airport,PUX,SCPV
Aeropuerto Arsenio Valderrama,ARQ,SKAT
Espinho Airport,,LPIN
Faradje Airport,,FZJK
George Lake Aerodrome,,
Georgetown Airport,GTT,YGTN
Magas Airport,IGT,URMS
Gettysburg Airport,,
Ghanzi Airport,GNZ,FBGZ
Ghinnir Airport,GNN
Gillespie Airport,,
Glasgow Seaplane Terminal,,
Golden Grove Airport,,YGGE
Golog Airport,GMQ,ZLGL
Goodooga Airport,,YGDA
Goose Lake Aerodrome,,
Gore Aerodrome,,NZGC
Goshen Municipal Airport,GSH,KGSH
Grand Forks Municipal Airport,,
Grand Lake Regional Airport,NRI,
Cibecue Airport,,
Aztec Municipal Airport,,
Whiteriver Airport,WTR,
Granny Smith Airport,,YGRS
Grant County Airport,PGC,
Grant County Airport,,
Grant Municipal Airport,,KGGF
Gravesend Airport,,
Great Lakes Airport,,YGRL
Green Castle Airport,,
Green Lake Airport,,
Mount Pleasant/Scottdale Airport,,
Mouyondzi Airport,MUY,FCBM
Muanda Airport,MNB,FZAG
Mulino State Airport,,
Mullewa Airport,MXU,YMWA
Murrayfield Airport,,YMUL
Murrin Murrin Airport,WUI,YMMI
Musoma Airport,MUZ
Mutoko Airport,,FVMT
Mysterious Valley Airport,,
Nachingwea Airport,NCH
Pančevo Airport,QBG,LYPA
Slovenj Gradec Airport,,LJSG
Nal Airport,BKB,VIBK
Nanjing Dajiaochang Airport,,
Napuka Airport,NAU,NTGN
Naryn Airport,,UAFN
Nervino Airport,NVN,
New Bedford Regional Airport,EWB,KEWB
Spencer Municipal Airport,SPW,KSPW
Spiritwood/H & M Fast Farms Aerodrome,,
Sportsman Airpark,,
Springbrook Airport,,
Springer Municipal Airport,,
Springvale Airport,KSV,YSPV
